,Depth,Chla
"10,557.394",-3.451,4.152
"10,593.677",-3.429,4.257
"10,629.96",-3.399,4.282
"10,666.244",-3.377,4.452
"10,678.343",-3.371,4.411
"10,714.625",-3.357,4.232
"10,750.906",-3.342,4.482
"10,787.188",-3.328,4.387
"10,823.47",-3.3,4.508
"10,859.752",-3.286,4.578
"10,871.868",-3.28,4.505
"10,908.148",-3.267,4.519
"10,944.428",-3.253,4.528
"10,980.709",-3.24,4.918
"11,016.989",-3.222,4.72
"11,053.269",-3.203,4.546
"11,065.401",-3.2,4.628
"11,101.68",-3.182,4.446
"11,137.959",-3.158,4.414
"11,174.238",-3.127,4.418
"11,210.516",-3.108,4.417
"11,246.795",-3.082,4.522
"11,258.943",-3.072,4.518
"11,295.22",-3.052,4.505
"11,331.497",-3.032,4.407
"11,367.774",-3.003,4.398
"11,404.052",-2.981,4.57
"11,416.216",-2.971,4.398
"11,452.491",-2.949,4.478
"11,488.767",-2.913,4.848
"11,525.043",-2.882,4.813
"11,561.319",-2.856,4.672
"11,597.595",-2.829,4.956
"11,609.773",-2.817,4.951
"11,646.047",-2.789,4.867
"11,682.321",-2.744,5.076
"11,718.596",-2.703,4.875
"11,754.87",-2.673,5.042
"11,791.145",-2.641,4.92
"11,803.337",-2.625,5.187
"11,839.609",-2.592,5.126
"11,875.882",-2.544,5.077
"11,912.155",-2.5,5.259
"11,948.428",-2.47,5.391
"11,984.701",-2.438,5.198
"11,996.906",-2.421,5.317
"12,033.178",-2.397,5.317
"12,069.449",-2.371,5.558
"12,105.721",-2.346,5.555
"12,141.992",-2.328,5.943
"12,178.264",-2.305,6.219
"12,190.482",-2.29,6.219
"12,226.752",-2.254,6.481
"12,263.022",-2.173,6.572
"12,299.292",-2.098,6.339
"12,335.562",-1.972,7.033
"12,347.795",-1.89,7.584
"12,384.063",-1.778,7.483
"12,420.331",-1.604,8.082
"12,456.6",-1.524,8.238
"12,492.869",-1.449,8.875
"12,529.137",-1.314,9.599
"12,541.382",-1.239,9.344
"12,577.649",-1.152,9.334
"12,613.916",-1.205,10.977
"12,650.183",-1.222,14.255
"12,686.45",-0.958,17.814
