,Depth,Chla
15.686,0.502,25.214
35.708,0.407,25.443
70.298,0.263,20.263
93.377,0.103,17.03
129.689,-0.206,15.25
166.003,-0.412,13.848
202.318,-0.632,12.711
227.797,-0.83,11.097
264.008,-1.143,8.925
300.244,-1.707,8.071
336.498,-2.012,5.925
362.452,-2.159,5.408
398.608,-2.353,5.006
434.791,-2.538,4.974
470.995,-2.728,5.006
497.15,-2.924,4.931
533.276,-3.147,5.142
569.427,-3.293,5.094
605.597,-3.43,5.023
631.863,-3.507,5.148
667.971,-3.702,5.019
704.1,-3.812,5.066
740.247,-3.955,5.235
766.584,-4.009,5.086
802.678,-4.098,5.175
838.792,-4.179,5.13
874.923,-4.292,5.042
911.068,-4.358,4.967
947.226,-4.417,4.955
983.396,-4.487,5.228
"1,019.576",-4.523,5.019
"1,055.765",-4.567,5.115
"1,081.888",-4.582,5.201
"1,118.043",-4.6,5.171
"1,154.208",-4.614,5.031
"1,190.381",-4.632,4.937
"1,226.563",-4.645,4.887
"1,262.753",-4.663,4.643
"1,298.95",-4.674,4.825
"1,335.153",-4.684,4.757
"1,371.362",-4.694,4.717
"1,407.576",-4.708,4.574
"1,443.795",-4.719,4.42
"1,480.019",-4.727,4.428
"1,516.248",-4.734,4.414
"1,552.48",-4.739,4.365
"1,578.344",-4.74,4.333
"1,614.555",-4.747,4.445
"1,650.771",-4.747,4.346
"1,686.991",-4.747,4.188
"1,723.215",-4.745,4.201
"1,759.443",-4.743,4.213
"1,795.674",-4.74,4.181
"1,831.908",-4.737,4.028
"1,868.146",-4.73,4.132
"1,904.386",-4.726,4.198
"1,940.629",-4.723,4.183
"1,976.875",-4.72,4.193
"2,013.123",-4.719,4.133
"2,038.867",-4.712,4.19
"2,075.1",-4.711,4.186
"2,111.335",-4.709,4.215
"2,147.574",-4.707,4.33
"2,183.815",-4.705,4.45
"2,220.058",-4.704,4.631
"2,256.303",-4.7,4.533
"2,292.551",-4.699,4.465
"2,328.8",-4.698,4.606
"2,365.051",-4.697,4.357
"2,401.305",-4.696,4.371
"2,437.56",-4.695,4.467
"2,473.816",-4.695,4.482
"2,510.074",-4.696,4.455
"2,535.729",-4.694,4.362
"2,571.976",-4.695,4.261
"2,608.225",-4.695,4.259
"2,644.475",-4.695,4.301
"2,680.727",-4.698,4.305
"2,716.981",-4.699,4.245
"2,753.236",-4.7,4.242
"2,789.493",-4.701,4.176
"2,825.751",-4.699,4.172
"2,862.01",-4.699,4.172
"2,898.271",-4.701,4.259
"2,934.533",-4.701,4.009
"2,970.796",-4.701,4.193
"2,996.4",-4.698,4.187
"3,032.654",-4.694,4.307
"3,068.909",-4.693,4.227
"3,105.166",-4.694,4.16
"3,141.424",-4.693,4.163
"3,177.683",-4.692,4.192
"3,213.943",-4.687,4.365
"3,250.204",-4.685,4.294
"3,286.466",-4.684,4.285
"3,322.73",-4.684,4.289
"3,358.994",-4.682,4.237
"3,395.26",-4.68,4.292
"3,431.526",-4.676,4.161
"3,467.793",-4.674,4.185
"3,493.351",-4.671,4.372
"3,529.611",-4.67,4.299
"3,565.872",-4.668,4.351
"3,602.133",-4.661,4.226
"3,638.396",-4.656,4.281
"3,674.66",-4.652,4.446
"3,710.924",-4.648,4.395
"3,747.189",-4.644,4.368
"3,783.455",-4.641,4.617
"3,819.722",-4.634,4.539
"3,855.99",-4.631,4.587
"3,892.258",-4.627,4.589
"3,928.528",-4.622,4.556
"3,954.059",-4.619,4.658
"3,990.321",-4.615,4.436
"4,026.585",-4.608,4.357
"4,062.849",-4.605,4.104
"4,099.114",-4.602,3.992
"4,135.38",-4.6,4.008
"4,171.647",-4.598,4.011
"4,207.914",-4.594,4.019
"4,244.182",-4.592,4.024
"4,280.451",-4.59,4.044
"4,316.72",-4.589,4.138
"4,352.99",-4.588,4.148
"4,389.261",-4.586,4.187
"4,425.532",-4.581,4.188
"4,451.035",-4.579,4.228
"4,487.3",-4.577,4.222
"4,523.567",-4.575,4.234
"4,559.834",-4.573,4.349
"4,596.101",-4.57,4.361
"4,632.369",-4.568,4.336
"4,668.638",-4.567,4.27
"4,704.907",-4.565,4.254
"4,741.177",-4.563,4.335
"4,751.996",-4.563,4.335
"4,788.273",-4.561,4.292
"4,824.55",-4.557,4.28
"4,860.827",-4.556,4.256
"4,897.104",-4.554,4.365
"4,933.383",-4.553,4.191
"4,944.292",-4.553,4.205
"4,980.575",-4.551,4.211
"5,016.859",-4.547,4.15
"5,053.143",-4.545,4.328
"5,089.428",-4.543,4.251
"5,125.712",-4.541,4.304
"5,136.704",-4.54,4.23
"5,172.994",-4.538,4.328
"5,209.283",-4.536,4.283
"5,245.573",-4.532,4.394
"5,281.863",-4.53,4.565
"5,318.153",-4.527,4.554
"5,329.222",-4.526,4.567
"5,365.515",-4.523,4.434
"5,401.809",-4.521,4.427
"5,438.103",-4.517,4.506
"5,474.397",-4.515,4.745
"5,510.692",-4.512,4.34
"5,521.832",-4.511,4.484
"5,558.129",-4.508,4.275
"5,594.427",-4.506,4.24
"5,630.724",-4.504,4.34
"5,667.022",-4.499,4.342
"5,678.226",-4.498,4.24
"5,714.526",-4.496,4.258
"5,750.826",-4.494,4.163
"5,787.126",-4.492,4.215
"5,823.427",-4.489,4.336
"5,859.727",-4.484,4.302
"5,870.993",-4.483,4.464
"5,907.295",-4.48,4.502
"5,943.597",-4.477,4.419
"5,979.9",-4.474,4.397
"6,016.202",-4.471,4.356
"6,052.505",-4.468,4.535
"6,063.828",-4.467,4.294
"6,100.132",-4.462,4.491
"6,136.436",-4.459,4.544
"6,172.74",-4.455,4.546
"6,209.044",-4.452,4.477
"6,245.348",-4.449,4.512
"6,256.726",-4.448,4.455
"6,293.031",-4.445,4.588
"6,329.336",-4.44,4.677
"6,365.641",-4.436,4.54
"6,401.946",-4.433,4.686
"6,413.374",-4.432,4.609
"6,449.68",-4.429,4.546
"6,485.986",-4.426,4.576
"6,522.292",-4.421,4.562
"6,558.597",-4.418,4.566
"6,594.903",-4.415,4.583
"6,606.379",-4.414,4.611
"6,642.685",-4.411,4.501
"6,678.991",-4.409,4.477
"6,715.297",-4.406,4.519
"6,751.603",-4.401,4.735
"6,787.909",-4.398,4.613
"6,799.431",-4.398,4.733
"6,835.737",-4.395,4.802
"6,872.043",-4.393,4.876
"6,908.349",-4.389,4.769
"6,944.655",-4.384,4.785
"6,980.961",-4.381,4.682
"6,992.526",-4.38,4.776
"7,028.832",-4.377,4.671
"7,065.138",-4.374,4.485
"7,101.444",-4.37,4.466
"7,137.749",-4.367,4.497
"7,174.055",-4.361,4.398
"7,185.66",-4.36,4.482
"7,221.965",-4.357,4.38
"7,258.271",-4.353,4.224
"7,294.576",-4.349,4.243
"7,330.882",-4.346,4.298
"7,342.525",-4.345,4.199
"7,378.83",-4.338,4.32
"7,415.135",-4.335,4.335
"7,451.44",-4.33,4.442
"7,487.745",-4.326,4.555
"7,524.05",-4.322,4.552
"7,535.729",-4.321,4.445
"7,572.033",-4.317,4.397
"7,608.338",-4.309,4.615
"7,644.642",-4.305,4.585
"7,680.946",-4.301,4.805
"7,717.25",-4.297,4.555
"7,728.964",-4.296,4.729
"7,765.267",-4.292,4.535
"7,801.571",-4.283,4.614
"7,837.874",-4.279,4.745
"7,874.177",-4.274,4.738
"7,910.481",-4.27,4.758
"7,922.227",-4.268,4.853
"7,958.53",-4.261,4.757
"7,994.832",-4.256,4.931
"8,031.134",-4.249,4.838
"8,067.437",-4.244,4.841
"8,079.215",-4.241,4.789
"8,115.517",-4.236,4.903
"8,151.818",-4.227,4.744
"8,188.119",-4.222,4.558
"8,224.42",-4.216,4.448
"8,260.722",-4.209,4.402
"8,272.53",-4.205,4.512
"8,308.83",-4.198,4.494
"8,345.13",-4.194,4.592
"8,381.43",-4.189,4.636
"8,417.73",-4.184,4.779
"8,454.031",-4.174,4.657
"8,465.867",-4.171,4.775
"8,502.166",-4.16,4.628
"8,538.465",-4.152,4.547
"8,574.764",-4.144,4.613
"8,611.063",-4.136,4.527
"8,647.362",-4.128,4.413
"8,659.225",-4.125,4.389
"8,695.523",-4.111,4.449
"8,731.82",-4.104,4.483
"8,768.118",-4.099,4.399
"8,804.416",-4.093,4.453
"8,840.713",-4.087,4.323
"8,852.602",-4.083,4.371
"8,888.899",-4.073,4.185
"8,925.195",-4.066,4.504
"8,961.491",-4.059,4.437
"8,997.788",-4.053,4.482
"9,009.703",-4.05,4.409
"9,045.998",-4.04,4.429
"9,082.293",-4.033,4.51
"9,118.588",-4.022,4.423
"9,154.882",-4.015,4.472
"9,191.177",-4.009,4.625
"9,203.116",-4.005,4.561
"9,239.41",-3.999,4.635
"9,275.703",-3.994,4.305
"9,311.997",-3.985,4.287
"9,348.29",-3.979,4.348
"9,384.584",-3.972,4.492
"9,396.545",-3.966,4.624
"9,432.837",-3.959,4.611
"9,469.129",-3.951,4.6
"9,505.422",-3.943,4.651
"9,541.714",-3.931,4.62
"9,578.006",-3.919,4.614
"9,589.989",-3.915,4.638
"9,626.28",-3.907,4.436
"9,662.57",-3.899,4.537
"9,698.861",-3.892,4.6
"9,735.152",-3.879,4.457
"9,747.157",-3.87,4.443
"9,783.446",-3.861,4.382
"9,819.735",-3.851,4.68
"9,856.024",-3.841,4.662
"9,892.314",-3.83,4.545
"9,928.603",-3.813,4.544
"9,940.628",-3.808,4.57
"9,976.916",-3.789,4.66
"10,013.204",-3.776,4.614
"10,049.491",-3.762,4.637
"10,085.779",-3.749,4.712
"10,122.067",-3.729,4.577
"10,134.112",-3.723,4.645
"10,170.398",-3.7,4.557
"10,206.684",-3.683,4.536
"10,242.97",-3.664,4.49
"10,279.256",-3.637,4.389
"10,315.543",-3.618,4.361
"10,327.606",-3.61,4.31
"10,363.89",-3.591,4.33
"10,400.175",-3.557,4.315
"10,436.46",-3.534,4.325
"10,472.745",-3.503,4.166
"10,509.03",-3.481,4.213
"10,521.11",-3.473,4.303
